formula,property
VCl3,1.182745689
CsOs3,2.35894921
WAl3,0.467086381
FCa3,1.106793666
SbRb3,0.032733962
CaLu3,0.203453161
AsBe3,0.679135747
NdYb3,0.068846614
SnH3,0.703470962
OsIr3,0.681486972
GeOs3,0.662957967
PdCo3,0.48385903
LaIn3,0.2162689
LuN3,2.0973168
SSn3,0.271093697
CoH3,0.473173521
CdNa3,0.01758612
CSc3,1.290278436
PbFe3,0.40731577
PmAg3,-0.019184911
CsHf3,1.286797136
LaSc3,0.129329311
TmK3,0.578915626
MnYb3,0.314338197
MnRh3,0.25629567
NaO3,1.470104518
PdY3,0.38866063
PdBa3,0.398150067
PdAl3,0.271636698
ThHo3,0.143106658
TbGe3,0.390620968
GeIr3,0.503122267
HoRe3,0.4379707
SiMn3,-0.074631566
HgW3,0.832832701
AcB3,1.528378688
SC3,3.64285306
LiCs3,0.138187905
SeTb3,1.062047968
NaFe3,0.715574032
TiIn3,0.384149909
MoO3,1.445173267
NiSm3,0.440938838
GaDy3,0.257037973
CsIr3,1.768712535
PdPb3,0.213601733
ClLi3,0.554275966
UBi3,0.291376643
LaHo3,0.119625885
BeCa3,0.416687465
SAu3,0.440824549
SeMn3,0.397801763
PO3,2.574411976
InBr3,0.769938429
SCo3,0.541435139
HPb3,0.444930272
AgCa3,0.212776576
CdPu3,0.431225313
PuF3,0.199347461
ReCo3,0.294992631
RuW3,0.217981174
NaRh3,0.447249345
DyZn3,0.07409472
IrFe3,0.007207452
MgB3,1.685527583
CoCd3,0.289960295
KGd3,0.528767221
TbBa3,0.382446364
NaC3,3.371783774
BeLa3,0.389094734
YLa3,0.131194756
NYb3,1.507645407
EuAu3,0.037137669
ThGa3,0.312109733
ThMg3,0.071670698
PrS3,0.708404397
NiU3,19.56242596
CaDy3,0.171005047
PmSi3,0.53943026
FRb3,0.663658025
INb3,0.805693783
YbRu3,0.418012465
KCe3,0.431938943
OEr3,1.827607066
LuRu3,0.416231396
AcHg3,0.045834275
HfPt3,0.343618212
DySc3,0.140676835
CaNp3,1.157741231
OsV3,-0.088923129
ReCr3,0.041457001
NdTh3,0.190008904
IrCl3,1.544402478
GePt3,0.227991826
PbPu3,0.273975025
MgS3,0.937787478
HfGd3,0.290875561
HgMn3,0.556122681
TiSi3,0.728320994
AsMo3,0.373642054
GeHo3,0.441008465
AcFe3,0.623508723
DyCl3,0.61705458
ISm3,0.560950909
IrCs3,0.731322738
ZnFe3,0.064692128
AuSb3,0.28552974
CFe3,0.817802723
TeY3,0.494357958
TiI3,1.030216507
CeLu3,0.109204794
YbRe3,0.444971044
HoRh3,0.271109312
MoOs3,0.657402289
TlPb3,0.117614404
TmH3,0.079895465
GaZr3,0.205175328
NiZr3,0.284837642
ErNa3,0.358400822
WZn3,0.532156598
NpSb3,0.31156303
TaBa3,0.970212478
ErP3,0.798453277
PtCd3,0.132150971
WTm3,0.45026465
HCd3,0.505733624
CeN3,1.954692505
KP3,1.1611619
MgSb3,0.258507058
LaZn3,0.090406316
CdBa3,0.179748377
PmSr3,0.157582917
CrAc3,0.500870899
AlBr3,1.258013042
HgTe3,0.368389567
MgC3,2.947106562
