formula,property
Cr-W-As-N,0.23117183
Cr-W-Au-C,0.14089797
Cr-W-Au-N,0.21381612
Cr-W-Bi-C,0.42001006
Cr-W-Bi-N,0.5305965
Cr-W-Cd-C,0.21033998
Cr-W-Cd-N,0.3012958
Cr-W-Co-C,0.12747581
Cr-W-Co-N,0.14582866
Cr-W-Cu-C,0.17521209
Cr-W-Cu-N,0.21265987
Cr-W-Fe-C,0.122638986
Cr-W-Fe-N,0.115288615
Cr-W-Ga-C,0.04673596
Cr-W-Ga-N,0.19507445
Cr-W-Ge-C,0.090928875
Cr-W-Ge-N,0.19362335
Cr-W-In-C,0.16073032
Cr-W-In-N,0.29493147
Cr-W-Ni-C,0.121579766
Cr-W-Ni-N,0.14467303
Cr-W-P-C,0.22573885
Cr-W-P-N,0.2769495
Cr-W-Pb-C,0.37518013
Cr-W-Pb-N,0.48166758
Cr-W-S-C,0.25248092
Cr-W-S-N,0.3380406
Cr-W-Sb-C,0.29190874
Cr-W-Sb-N,0.37626052
Cr-W-Si-C,0.15014985
Cr-W-Si-N,0.35874608
Cr-W-Sn-C,0.19613037
Cr-W-Sn-N,0.357456
Cr-W-Tl-C,0.3472758
Cr-W-Tl-N,0.41898537
Cr-W-Zn-C,0.09714958
Cr-W-Zn-N,0.15250297
Cr-Y-Al-C,-0.017481713
Cr-Y-Al-N,0.21272996
Cr-Y-As-C,0.3117886
Cr-Y-As-N,0.2701189
Cr-Y-Au-C,0.14784816
Cr-Y-Au-N,0.12148845
Cr-Y-Bi-C,0.24532546
Cr-Y-Bi-N,0.2800841
Cr-Y-Cd-C,0.06814201
Cr-Y-Cd-N,0.179546
Cr-Y-Co-C,0.084546514
Cr-Y-Co-N,0.19474962
Cr-Y-Cu-C,0.075258814
Cr-Y-Cu-N,0.14798607
Cr-Y-Fe-C,0.061114505
Cr-Y-Fe-N,0.16246434
Cr-Y-Ga-C,0.018197222
Cr-Y-Ga-N,0.06345611
Cr-Y-Ge-C,0.09675153
Cr-Y-Ge-N,0.11859718
Cr-Y-In-C,0.08953436
Cr-Y-In-N,0.18335448
